"","Denominación_social","Domicilio_social","Latitud","Longitud","Fecha_constitución","CNAE","Objeto_social","Tamaño_empresa_por_facturación","Índice_crec_interanual_ventas","Tamaño_empresa_por_empleados","Empleo_fijo","Empleo_temporal","Teléfono","Estado","URL","Metatag_descripción","RRSS","Cotización_en_bolsa","Actividad_internacional","Capital_social","Empleados","Empleados_año","Resultado","Municipio"
"703","Maria Bel Maria Teresa Oarbeascoa Urizar","GRUPO SAN IGNACIO (BA JO), 2","43.173055","-2.634953","01/01/2002","4771 - Comercio al por menor de prendas de vestir en establecimientos especializados","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"704","Juan Antonio Sarasqueta Arregui Amaia Di","BARRIO EGUZKITZA","43.16312","-2.618605","01/01/2002","1102 - Elaboración de vinos","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"705","Baudilio Lavin Setien-rafael Bilbao Albe","CALLE FRAY JUAN DE ZUMARRAGA KALEA (BA JO KA), 13","43.17189837","-2.63514863","01/01/2002","5630 - Establecimientos de bebidas","-","-","-","-","-","-","946810858","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"706","Fernan Maria Jesus Fernandez Muñoz Nuria","AVENIDA ASKATASUN, 18","43.16938001","-2.63807495","01/01/2005","9602 - Peluquería y otros tratamientos de belleza","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"707","Erika Acevedo Gulin Gracia Acevedo Gulin","CALLE BERNARDO GABIOLA, 4","43.16839","-2.622905","01/01/2002","9602 - Peluquería y otros tratamientos de belleza","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"708","Mirian Cifuentes Garcia-jon Cifuentes Garcia","CALLE AGIRRE LEHENDAKARI, 6 - 5 C","43.17261195","-2.63516891","01/01/2004","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"709","P. Fabian Arriola Berasaluce Sonia Moren","CALLE JOSE ANTONIO AGUIRRE LEHENDAKARI, 6","43.173269","-2.63543","01/01/2002","4771 - Comercio al por menor de prendas de vestir en establecimientos especializados","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"710","Luis Juan Enrique Echeita Gastelurrutia","CALLE FRAY JUAN DE ZUMARRAGA KALEA, 19 - BJ KA","43.17214802","-2.63619463","01/01/2005","4799 - Otro comercio al por menor no realizado ni en establecimientos, ni en puestos de venta ni en mercadillos","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"711","Miren Karmele Ardanza Azcondo-maria Arra","CALLE ANDRA MARI (BA JO D), 15","43.16786006","-2.63059956","01/01/2002","9529 - Reparación de otros efectos personales y artículos de uso doméstico","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"712","Alexander Elorza Yarza Idoia Elorza Yarz","GRUPO MURUETATORRE, 8","43.17213586","-2.63235847","01/01/2002","6820 - Alquiler de bienes inmobiliarios por cuenta propia","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"713","Maria Esther Dominguez Royuela-john Jose","CALLE KURUTZIAGA, 16","43.16797672","-2.62917698","01/01/2002","8559 - Otra educación n.c.o.p.","-","-","-","-","-","-","946202084","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"714","Maria Del Carmen Jaime Telleria Orriols","CALLE ASKATASUN ETORBIDEA, 18","43.169211","-2.63793","01/01/2002","7111 - Servicios técnicos de arquitectura","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"715","Joana Martin Mendez-carolina Martin Mend","CALLE ALLUITZ, 17","43.16992601","-2.63835861","01/01/2002","9602 - Peluquería y otros tratamientos de belleza","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"716","Enrike De Costa Zaldibar Raul De Costa Z","CALLE MATXINESTARTA KALEA, 20 - BJ","43.16995607","-2.62712853","01/01/2002","7722 - Alquiler de cintas de vídeo y discos","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"717","Mar Alicia Dominguez Gonzalez Olatz Fano","GRUPO SAN IGNACIO, 4","43.173192","-2.635321","01/01/2005","4711 - Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"718","Maria Elisa Bilbao Inzunza Estibaliz And","CALLE ASKATASUN ETORBIDEA, 46 - BJ","43.16967","-2.64097","01/01/2005","5610 - Restaurantes y puestos de comidas","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"719","Maria Emilia Isabel Arrieta Madariaga An","CALLE ERMODO KALEA, 13 - BJ","43.170212","-2.632748","01/01/2005","4729 - Otro comercio al por menor de productos alimenticios en establecimientos especializados","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"720","Maria Maria Esther Berasaluce Oarbeascoa","CALLE ASKATASUN ETORBIDEA, 11","43.168984","-2.635026","01/01/2005","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"721","Maria De Serafin Bereciartua Zubizarreta","CALLE GOIENKALEA, 11 - BJ","43.16656464","-2.63122448","01/01/2005","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"722","Garazi A Maria Teresacariñanos Casanova","PLAZA PINONDO, 11 - BJ","43.16462104","-2.63243069","01/01/2005","9602 - Peluquería y otros tratamientos de belleza","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"723","Ana Isabel Hurtado De La Pinta Maria Beg","CALLE ERMODO, 1","43.169747","-2.632479","01/01/2005","9602 - Peluquería y otros tratamientos de belleza","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"724","Ma Asier Elorza Gastiain Jose Maria Saez","CALLE ANTSO ESTEGIZ ZUMARDIA, 11 - B","43.166083","-2.628628","01/01/2003","8299 - Otras actividades de apoyo a las empresas n.c.o.p.","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"725","Humberto Arcarazo Bilbao-alexander Arcar","CALLE GOIENKALEA, 1 - BJ","43.16687479","-2.63126266","01/01/2005","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
